"STATION","DATE","HN01","LN01","PRCP","TAVG"
"USC00341743","2021","83","28",,"60.5"
"USC00341743","2022","87","27","19.65","60.8"
"USW00023065","2014","75","28","17.87","50.9"
"USW00023065","2015","77","28","20.57","53.7"
"USW00023065","2016","76","22","17.41","53.7"
"USW00023065","2017","77","22","26.39","52.9"
"USW00023065","2018","77","17","20.04","51.9"
"USW00023065","2019",,,"22.81","50.7"
"USW00023065","2020",,,"16.21","53.0"
"USW00023065","2021",,,"13.22","52.9"
"USW00023065","2022",,,"11.10",
"USC00087429","2017",,,,
"USC00087429","2020",,,,
"USC00111497","2014","77","27","42.47","46.1"
"USC00111497","2015","76","29","41.77","49.6"
"USC00111497","2016","80","26","36.20","51.7"
"USC00111497","2017","78","23","46.30","50.9"
"USC00111497","2018","77","24","51.09","49.2"
"USC00111497","2019",,,,
"USC00112223","2014",,,"36.04","45.0"
"USC00112223","2015",,,"41.83","48.6"
"USC00112223","2016",,,"38.53","50.7"
"USC00112223","2017",,,"41.29","49.7"
"USC00112223","2018",,,"39.19","47.9"
"USC00112223","2019",,,"45.82","47.4"
"USC00112223","2020",,,"35.56","49.2"
"USC00112223","2021",,,,
"USC00112223","2022",,,"37.03","47.4"
"USC00114400","2015",,,,
"USC00114400","2016","83","7","46.70","55.9"
"USC00114400","2017","87","32","36.51","56.2"
"USC00114400","2018","85","27","50.67","54.3"
"USC00114400","2019",,,"57.17","55.0"
"USC00114400","2020","82","33","46.23","55.1"
"USC00114400","2021","84","32","49.27","54.8"
"USC00114400","2022",,,"42.48",
"USC00164700","2014",,,"59.87","66.6"
"USC00164700","2015",,,"67.53","69.2"
"USC00164700","2016",,,"77.28","69.7"
"USC00164700","2017",,,"82.72","69.5"
"USC00164700","2018",,,"59.37","68.3"
"USC00164700","2019",,,"68.96","68.2"
"USC00164700","2020",,,,
"USC00164700","2021",,,"61.55","67.9"
"USC00164700","2022",,,"47.11","67.8"
"USC00227128","2014",,,"56.76",
"USC00227128","2015",,,,
"USC00227128","2016",,,"65.96",
"USC00227128","2017",,,"95.52","67.1"
"USC00227128","2018",,,"69.57","66.6"
"USC00227128","2019",,,"72.28","66.7"
"USC00227128","2020",,,"69.43",
"USC00227128","2021",,,"82.22",
"USC00227128","2022",,,"67.30",
